2010-01-17T20:14:09+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.locale.appendix.html
2010-01-17T20:14:10+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.gdata.clientlogin.html
2010-01-17T20:14:10+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.openid.provider.html
2010-01-17T20:14:10+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.ldap.ldif.html
2010-01-17T20:14:10+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.file.transfer.validators.html
2010-01-17T20:14:11+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.search.lucene.extending.html
2010-01-17T20:14:11+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.layout.html
2010-01-17T20:14:13+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.gdata.html
2010-01-17T20:14:13+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.filter.html
2010-01-17T20:14:14+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.timesync.html
2010-01-17T20:14:14+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.locale.functions.html
2010-01-17T20:14:15+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.translate.sourcecreation.html
2010-01-17T20:14:15+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.server.reflection.html
2010-01-17T20:14:15+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.json.basics.html
2010-01-17T20:14:15+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.search.lucene.query-api.html
2010-01-17T20:14:15+00:00 INFO (6):     Indexing: /manual/1.9/ja/project-structure.rewrite.html
2010-01-17T20:14:15+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.service.recaptcha.html
2010-01-17T20:14:18+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.application.theory-of-operation.html
2010-01-17T20:14:18+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.mime.message.html
2010-01-17T20:14:18+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.console.getopt.configuration.html
2010-01-17T20:14:19+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.mime.html
2010-01-17T20:14:19+00:00 INFO (6):     Indexing: /manual/1.9/ja/introduction.installation.html
2010-01-17T20:14:19+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.reflection.html
2010-01-17T20:14:19+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.currency.usage.html
2010-01-17T20:14:19+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.loader.autoloader-resource.html
2010-01-17T20:14:20+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.text.html
2010-01-17T20:14:20+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.captcha.html
2010-01-17T20:14:21+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.memory.memory-objects.html
2010-01-17T20:14:21+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.tool.framework.html
2010-01-17T20:14:21+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.session.savehandler.dbtable.html
2010-01-17T20:14:22+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.codegenerator.examples.html
2010-01-17T20:14:22+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.service.strikeiron.html
2010-01-17T20:14:22+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.feed.consuming-atom-single-entry.html
2010-01-17T20:14:22+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.service.amazon.ec2.ebs.html
2010-01-17T20:14:23+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.ldap.server.html
2010-01-17T20:14:23+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.service.amazon.ec2.securitygroups.html
2010-01-17T20:14:23+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.service.amazon.ec2.images.html
2010-01-17T20:14:24+00:00 INFO (6):     Indexing: /manual/1.9/ja/doc-standard.file-formatting.html
2010-01-17T20:14:25+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.layout.advanced.html
2010-01-17T20:14:25+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.feed.consuming-rss.html
2010-01-17T20:14:25+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.captcha.adapters.html
2010-01-17T20:14:25+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.text.table.introduction.html
2010-01-17T20:14:26+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.wildfire.html
2010-01-17T20:14:26+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.http.client.migration.html
2010-01-17T20:14:26+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.measure.edit.html
2010-01-17T20:14:26+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.mail.adding-recipients.html
2010-01-17T20:14:26+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.date.html
2010-01-17T20:14:28+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.soap.wsdl.html
2010-01-17T20:14:28+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.search.lucene.java-lucene.html
2010-01-17T20:14:28+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.feed.consuming-atom.html
2010-01-17T20:14:28+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.feed.html
2010-01-17T20:14:29+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.gdata.calendar.html
2010-01-17T20:14:29+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.tool.framework.writing-providers.html
2010-01-17T20:14:30+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.navigation.pages.html
2010-01-17T20:14:30+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.tag.cloud.html
2010-01-17T20:14:31+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.pdf.info.html
2010-01-17T20:14:31+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.http.response.html
2010-01-17T20:14:33+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.controller.migration.html
2010-01-17T20:14:34+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.filter.input.html
2010-01-17T20:14:34+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.pdf.create.html
2010-01-17T20:14:35+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.db.table.definition.html
2010-01-17T20:14:35+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.rest.html
2010-01-17T20:14:35+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.tool.framework.system-providers.html
2010-01-17T20:14:35+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.controller.response.html
2010-01-17T20:14:36+00:00 INFO (6):     Indexing: /manual/1.9/ja/performance.view.html
2010-01-17T20:14:36+00:00 INFO (6):     Indexing: /manual/1.9/ja/zend.openid.html
